tube,V1,V2,V3
A1,0,0,0
A2,0,0,0
A3,1,1,0
A4,2,0,0
A5,0,1,0
A6,2,0,1
A7,0,1,0
A8,0,0,0
A9,0,0,0
A10,1,0,0
A11,1,2,0
A12,2,2,1
A13,1,2,1
A14,2,1,1
A15,0,0,1
A16,0,0,1
A17,1,1,1
A18,2,1,2
A19,0,0,2
A20,0,1,0
A21,1,1,1
A22,1,0,0
A23,1,0,0
A24,1,0,1
A25,0,0,1
A26,0,0,1
A27,2,2,2
A28,0,1,0
A29,0,0,0
A30,0,0,0
A31,2,2,1
A32,0,0,1
B1,0,0,0
B2,0,0,0
B3,1,0,0
B4,1,1,0
B5,1,2,0
B6,1,0,0
B7,2,2,0
B8,0,0,0
B9,0,2,0
B10,2,0,1
B11,0,2,0
B12,2,1,0
B13,1,0,0
B14,2,2,2
B15,2,1,1
B16,2,1,0
B17,0,0,0
B18,1,1,1
B19,2,2,0
B20,1,1,0
B21,0,0,0
B22,0,0,0
B23,1,1,1
B24,1,0,0
B25,0,0,0
B26,0,2,0
B27,1,0,0
B28,0,1,0
B29,2,1,0
B30,1,0,0
B31,1,0,0
B32,0,0,0
B33,0,0,0
B34,1,0,1
B35,0,0,0
B36,0,0,0
B37,0,0,0
B38,1,1,0
C1,0,0,0
C2,0,1,1
C3,1,1,1
C4,0,0,0
C5,1,0,0
C6,1,1,1
C7,0,1,1
C8,1,1,0
C9,2,1,0
C10,0,0,0
C11,0,1,1
C12,0,0,0
C13,1,1,0
C14,0,0,0
C15,0,0,0
C16,2,1,1
C17,2,0,0
C18,0,0,0
C19,0,0,1
C20,2,1,1
C21,0,0,1
C22,0,0,0
C23,1,0,1
C24,1,0,1
C25,2,1,1
C26,1,1,1
C27,1,0,0
C28,0,0,0
C29,0,0,0
C30,0,0,0
C31,2,1,1
C32,2,0,0
C33,1,0,0
C34,0,0,0
C35,0,1,0
C36,1,0,0
C37,1,0,1
C38,1,0,1
D1,0,0,0
D2,0,0,0
D3,0,0,0
D4,0,0,0
D5,0,0,0
D6,0,0,0
D7,1,0,0
D8,0,0,0
D9,2,1,1
D10,0,1,0
D11,0,0,0
D12,1,0,0
D13,0,1,0
D14,1,0,0
D15,1,0,0
D16,0,0,0
D17,1,0,0
D18,0,0,1
D19,1,1,0
D20,2,1,1
D21,0,0,0
D22,0,0,0
D23,1,0,0
D24,2,1,0
D25,1,0,0
D26,1,0,0
D27,1,0,1
D28,2,1,0
D29,0,0,1
D30,0,0,0
D31,1,0,1
D32,0,0,0