tube,V2,V3,V4,V5
A1,0,1,0,1
A2,2,2,2,2
A3,0,0,0,0
A4,0,0,1,0
A5,2,1,0,0
A6,2,0,0,0
A7,2,2,1,2
A8,1,1,1,1
A9,1,0,0,1
A10,1,0,0,0
A11,1,1,0,1
A12,1,2,1,0
A13,0,0,0,0
A14,0,0,1,2
A15,0,1,0,0
A16,1,1,0,0
A17,1,0,1,1
A18,0,0,0,0
A19,0,1,0,0
A20,1,1,0,0
A21,0,0,1,0
A22,1,0,0,0
A23,0,0,0,0
A24,1,0,0,1
A25,1,1,2,1
A26,0,0,0,0
A27,1,0,0,0
A28,0,0,1,0
A29,0,1,0,0
A30,0,0,1,1
A31,1,0,1,0
A32,0,0,0,0
A33,2,0,0,0
B1,0,0,0,0
B2,0,0,0,0
B3,2,1,1,1
B4,1,1,0,1
B5,2,1,1,0
B6,1,1,0,1
B7,0,0,0,0
B8,1,0,0,0
B9,0,1,0,0
B10,0,0,0,0
B11,0,0,0,0
B12,0,0,1,0
B13,1,1,0,0
B14,0,0,0,0
B15,0,1,0,0
B16,0,1,0,0
B17,0,0,1,0
C1,2,2,2,1
C2,2,2,1,1
C3,1,1,2,2
C4,1,0,1,0
C5,0,1,0,0
C6,1,0,1,0
C7,1,1,0,1
C8,0,1,0,0
C9,1,0,0,0
C10,1,0,1,0
C11,0,0,0,1
C12,2,0,0,0
C13,0,0,0,0
C14,1,1,2,1
C15,0,0,0,0
D1,2,2,0,0
D2,0,1,0,1
D3,2,2,1,1
D4,1,1,0,1
D5,0,2,0,0
D6,2,0,0,1
D7,1,0,0,0
D8,2,0,0,1
D9,2,0,0,1
D10,0,1,0,0
D11,1,1,0,0
D12,2,1,1,0
D13,1,1,0,0
D14,1,0,1,0
D15,2,0,1,0
D16,2,0,0,0
D17,0,1,0,0
D18,1,0,0,0
D19,0,0,1,0
D20,0,1,1,0
D21,0,0,0,1
D22,0,0,0,0
D23,2,0,1,0
D24,1,1,0,0
D25,0,1,0,0
D26,1,0,1,0
D27,1,0,0,0
D28,1,0,0,0
D29,1,2,1,1
D30,1,0,0,1
D31,0,0,0,0
D32,0,0,1,0
D33,0,1,0,0
D34,0,0,0,0
D35,0,1,0,0